,aX,aY,aZ,gX,gY,gZ,little,ring,middle,index,thumb,Character
31,0.46,0.8,0.29,0.79,-12.57,-6.16,366,279,201,448,359,29
32,0.46,0.8,0.27,3.72,-2.26,-0.67,367,278,204,442,360,29
33,0.5,0.85,0.23,6.35,-5.74,-2.44,362,277,205,440,360,29
34,0.5,0.82,0.24,-4.33,-1.95,-0.49,367,280,205,441,358,29
35,0.5,0.82,0.25,-1.46,-6.9,-3.05,368,277,202,437,356,29
36,0.51,0.81,0.24,-7.81,-2.69,-0.98,371,276,203,442,358,29
37,0.52,0.82,0.24,1.95,-1.83,-3.05,370,278,204,442,360,29
38,0.5,0.81,0.25,0.12,-2.62,-2.44,371,275,201,442,355,29
39,0.5,0.84,0.26,3.17,0.24,-3.66,369,277,204,439,357,29
40,0.53,0.86,0.25,2.5,0.85,-4.88,369,277,202,442,358,29
41,0.51,0.86,0.23,4.64,0.0,-1.95,368,278,201,443,360,29
42,0.51,0.86,0.27,0.55,-0.24,-2.44,364,277,205,443,356,29
43,0.54,0.82,0.27,6.77,-1.83,-5.49,368,279,204,446,355,29
44,0.51,0.79,0.25,3.48,-8.18,-2.81,365,280,202,446,358,29
45,0.5,0.82,0.27,-5.8,-7.51,-3.54,379,280,203,444,358,29
46,0.52,0.81,0.25,0.85,-8.06,-4.03,368,280,201,443,358,29
47,0.5,0.82,0.25,6.65,-3.72,-4.21,370,278,202,437,358,29
48,0.51,0.85,0.27,4.15,-1.65,-6.29,370,277,204,443,356,29
49,0.49,0.86,0.26,5.92,-4.39,-1.71,372,278,203,437,359,29
50,0.49,0.82,0.24,0.31,-4.33,-2.44,367,277,199,446,357,29
51,0.5,0.84,0.24,0.49,-2.38,-2.2,371,278,203,440,361,29
52,0.52,0.84,0.24,2.81,-3.3,-3.48,369,277,205,442,358,29
53,0.5,0.83,0.24,2.01,-1.77,-3.48,368,278,200,443,357,29
54,0.51,0.82,0.23,2.93,-1.83,-2.26,368,280,202,448,360,29
55,0.52,0.81,0.23,-4.46,3.78,-5.86,367,277,205,442,360,29
56,0.5,0.82,0.26,-0.67,-2.69,0.24,396,279,205,442,358,29
57,0.51,0.82,0.27,2.26,-3.66,-2.44,364,280,204,442,361,29
58,0.5,0.81,0.27,1.34,0.12,-4.27,368,280,202,443,361,29
59,0.5,0.81,0.26,1.59,-2.93,-3.05,368,281,201,446,362,29
60,0.5,0.82,0.27,-0.24,-3.78,-2.93,365,281,203,446,359,29
61,0.49,0.82,0.27,0.06,-4.76,-2.2,370,278,201,445,359,29
62,0.49,0.83,0.28,1.4,-2.75,-2.62,366,278,199,442,355,29
63,0.47,0.81,0.26,-1.89,-1.71,-1.59,367,275,205,440,361,29
64,0.51,0.83,0.24,1.4,-1.16,-2.08,365,277,197,443,355,29
65,0.49,0.83,0.24,1.95,-3.72,-1.04,357,279,204,442,361,29
66,0.5,0.83,0.24,1.04,-3.97,-0.92,365,277,204,445,356,29
67,0.49,0.82,0.24,-0.49,-2.08,-0.67,363,276,205,442,357,29
68,0.51,0.83,0.25,-0.24,-2.62,-2.62,370,277,203,448,360,29
69,0.51,0.83,0.26,-1.46,-2.2,-1.34,370,279,204,444,359,29
70,0.52,0.83,0.25,-0.12,-3.6,-1.95,369,279,204,443,361,29
71,0.51,0.82,0.25,1.16,-2.87,-3.05,366,281,202,441,359,29
72,0.51,0.82,0.25,-1.16,-2.38,-1.65,370,276,217,442,359,29
73,0.52,0.82,0.25,0.31,-3.3,-2.81,366,277,202,442,355,29
74,0.52,0.82,0.25,-1.16,-2.56,-2.08,368,279,202,448,360,29
75,0.51,0.83,0.26,1.04,-2.5,-2.56,368,281,204,442,358,29
76,0.52,0.82,0.26,2.87,-2.26,-1.83,367,280,204,442,360,29
77,0.52,0.82,0.25,1.1,-1.53,-3.17,365,278,207,444,360,29
78,0.52,0.83,0.25,2.81,-5.07,-2.38,367,277,204,439,360,29
79,0.51,0.82,0.26,1.59,-0.55,-3.23,365,279,203,437,354,29
80,0.5,0.81,0.27,-0.73,-2.26,1.34,367,280,205,442,359,29
81,0.52,0.82,0.27,-0.49,-1.83,-1.71,366,279,201,440,358,29
82,0.51,0.82,0.27,0.98,-4.09,-3.17,368,278,204,445,360,29
83,0.52,0.81,0.26,0.06,-3.11,-2.2,369,281,205,442,360,29
84,0.52,0.82,0.26,0.06,-3.3,-2.01,365,284,205,445,358,29
85,0.51,0.82,0.27,-0.43,-2.14,-2.08,367,278,206,441,355,29
86,0.52,0.82,0.25,3.05,-2.87,-4.94,366,280,205,448,365,29
87,0.51,0.82,0.25,2.01,-2.87,-1.89,365,276,201,437,361,29
88,0.5,0.82,0.25,-0.55,-1.95,-2.93,369,281,203,442,360,29
89,0.52,0.82,0.24,-0.12,-3.3,-1.77,371,278,202,443,359,29
90,0.51,0.83,0.26,0.12,-3.23,-2.44,366,279,202,441,356,29
91,0.52,0.83,0.24,0.0,-2.38,-2.75,370,278,204,437,357,29
92,0.52,0.82,0.25,-0.18,-3.05,-0.79,367,279,203,443,359,29
93,0.52,0.81,0.24,1.22,-3.78,-1.16,364,280,207,441,360,29
94,0.51,0.83,0.24,1.46,-2.01,-2.69,369,283,205,442,362,29
95,0.53,0.83,0.25,-0.61,-5.62,-0.37,365,279,219,438,361,29
96,0.52,0.82,0.25,1.22,-1.34,-3.42,370,278,202,442,359,29
97,0.51,0.83,0.25,-2.75,-3.72,-2.32,369,280,202,445,361,29
98,0.53,0.8,0.25,0.0,-3.91,-1.34,367,278,202,436,359,29
99,0.52,0.81,0.24,-1.4,-3.6,-1.28,368,279,201,451,357,29
100,0.54,0.81,0.25,2.26,-3.05,-0.79,367,277,204,437,360,29
101,0.52,0.8,0.25,-1.34,-1.65,-1.16,368,281,207,442,359,29
102,0.53,0.82,0.27,1.04,-2.56,-2.38,368,281,202,443,359,29
103,0.54,0.8,0.26,0.61,-2.01,-3.23,378,283,210,444,359,29
104,0.53,0.81,0.27,0.61,-1.28,-2.62,365,278,202,446,360,29
105,0.51,0.81,0.26,0.24,-3.17,-3.05,369,278,203,440,360,29
106,0.52,0.8,0.26,-1.04,-3.6,-4.64,364,277,204,444,357,29
107,0.52,0.81,0.27,0.18,-3.3,-2.81,369,282,206,442,362,29
108,0.52,0.8,0.25,1.28,-4.46,-4.27,369,279,203,440,360,29
109,0.52,0.81,0.26,0.12,-2.81,-1.89,366,280,203,442,361,29
110,0.51,0.82,0.26,-1.83,-2.99,-2.81,368,281,204,443,360,29
111,0.52,0.81,0.25,0.49,-3.05,-2.44,367,288,205,440,362,29
112,0.53,0.83,0.29,-6.35,-2.87,2.01,368,279,204,440,360,29
113,0.55,0.82,0.27,-2.38,-5.25,-1.83,367,282,202,445,360,29
114,0.53,0.79,0.26,-1.28,-2.44,-3.97,368,278,207,435,360,29
115,0.53,0.82,0.28,1.34,-1.53,2.38,368,279,207,443,361,29
116,0.54,0.79,0.27,0.73,-3.66,-1.34,366,279,208,446,360,29
117,0.53,0.8,0.28,2.01,-0.12,-4.03,371,278,219,442,359,29
118,0.53,0.76,0.27,-3.78,-6.47,-3.85,368,281,207,441,359,29
119,0.52,0.77,0.28,-1.28,-5.92,-4.21,367,278,206,440,358,29
120,0.52,0.79,0.28,-1.65,-2.75,-2.69,370,278,203,439,361,29
121,0.54,0.79,0.29,0.67,-3.36,-1.1,370,279,209,441,356,29
122,0.55,0.8,0.29,0.61,-3.54,-2.2,370,279,203,441,360,29
123,0.56,0.8,0.28,2.99,-3.48,-3.66,370,281,217,436,356,29
124,0.53,0.8,0.28,2.2,-2.99,-4.09,368,277,204,443,359,29
125,0.56,0.79,0.26,0.55,-4.58,-1.89,369,276,205,439,359,29
126,0.55,0.78,0.29,-1.4,-3.48,0.79,370,279,204,441,358,29
127,0.54,0.77,0.28,-3.97,-4.52,-3.05,368,279,206,445,360,29
128,0.53,0.78,0.28,4.52,-0.85,-6.29,370,278,208,439,359,29
129,0.54,0.8,0.29,-1.4,-2.62,-3.23,372,280,206,445,364,29
130,0.55,0.8,0.28,1.89,-3.05,-3.85,367,279,202,440,360,29
131,0.56,0.82,0.27,4.39,-1.22,-3.66,368,281,206,440,363,29
132,0.55,0.81,0.28,1.77,-4.64,-4.58,368,282,201,440,354,29
133,0.56,0.81,0.26,4.33,-3.42,-1.71,370,280,206,442,358,29
134,0.55,0.81,0.27,1.89,-3.72,-6.23,369,280,203,444,361,29
135,0.53,0.79,0.27,-2.01,-4.21,-2.5,369,279,207,441,361,29
136,0.52,0.81,0.27,-3.17,-2.38,-2.2,367,280,203,441,362,29
137,0.55,0.79,0.29,2.56,-2.5,-2.26,369,281,203,442,362,29
138,0.54,0.8,0.29,1.16,-2.01,-3.23,369,278,206,441,360,29
139,0.55,0.79,0.26,1.65,-3.78,-0.61,369,278,203,441,360,29
140,0.53,0.79,0.27,1.04,0.31,-4.52,368,279,204,439,358,29
141,0.54,0.81,0.26,1.53,-3.6,-0.18,371,282,207,442,358,29
142,0.54,0.8,0.27,-0.85,-2.32,-1.28,370,280,207,442,362,29
143,0.56,0.79,0.26,1.83,-5.19,-1.71,369,279,206,442,359,29
144,0.55,0.8,0.26,0.98,-4.27,-2.5,371,279,218,442,362,29
145,0.55,0.79,0.26,-0.61,-3.54,-3.05,371,282,206,436,356,29
146,0.54,0.79,0.27,-3.54,-2.5,-0.73,368,278,204,441,359,29
147,0.55,0.8,0.26,0.31,-3.85,-1.95,368,276,205,436,359,29
148,0.54,0.8,0.27,-1.77,-1.65,-2.32,369,279,201,440,360,29
149,0.53,0.8,0.27,1.46,-2.2,-2.93,372,280,204,436,360,29
150,0.55,0.79,0.27,0.18,-1.4,-2.75,370,282,203,439,359,29
151,0.55,0.8,0.27,-0.24,-2.32,-1.22,369,285,204,445,356,29
152,0.55,0.78,0.28,2.2,-3.05,-2.75,368,281,208,445,361,29
153,0.55,0.79,0.27,1.71,-3.3,-3.54,369,279,204,442,361,29
154,0.54,0.8,0.27,1.4,-4.39,-5.31,368,281,204,442,360,29
155,0.56,0.82,0.28,3.78,-2.26,-2.14,369,281,207,441,360,29
156,0.55,0.8,0.26,0.24,-4.33,-3.6,369,278,204,440,360,29
157,0.54,0.81,0.27,-2.14,-3.66,-6.71,367,285,204,442,361,29
158,0.54,0.81,0.28,-2.01,-2.75,-0.31,370,280,201,436,356,29
159,0.56,0.81,0.28,0.73,-4.76,-3.78,367,288,203,439,360,29
160,0.55,0.8,0.29,-1.1,-1.28,-2.38,370,276,205,445,357,29
161,0.54,0.8,0.28,3.05,-4.03,1.04,367,279,213,441,362,29
162,0.56,0.78,0.27,-0.43,-3.36,-1.65,368,281,201,445,356,29
163,0.55,0.78,0.28,0.43,-1.95,-4.09,371,284,209,443,356,29
164,0.55,0.79,0.27,0.37,-2.75,-2.44,368,282,209,445,360,29
165,0.55,0.79,0.29,1.04,-3.97,-2.75,372,275,204,442,358,29
166,0.56,0.78,0.28,1.28,-4.15,-2.62,368,277,204,441,362,29
167,0.55,0.79,0.29,0.18,-2.38,-2.56,368,281,209,444,361,29
168,0.55,0.79,0.28,-0.31,-3.17,-4.58,370,282,207,437,358,29
169,0.56,0.79,0.26,1.83,-3.3,-2.14,368,277,206,441,362,29
170,0.55,0.79,0.28,0.12,-3.72,-2.38,366,282,203,442,362,29
171,0.56,0.78,0.27,-1.77,-2.32,-2.99,367,282,207,439,360,29
172,0.55,0.79,0.27,1.71,-2.93,-1.83,367,279,203,441,361,29
173,0.55,0.78,0.27,-0.61,-2.5,-2.81,368,281,204,438,360,29
174,0.55,0.78,0.27,1.16,-3.78,-3.3,375,279,205,444,357,29
175,0.54,0.8,0.28,1.59,-3.3,-0.67,368,278,204,437,357,29
176,0.55,0.79,0.27,1.53,-2.26,-2.14,368,280,203,442,361,29
177,0.55,0.8,0.26,1.77,-2.26,-3.17,368,280,204,442,361,29
178,0.56,0.8,0.26,-1.4,-1.71,-3.6,365,281,203,442,361,29
179,0.56,0.8,0.26,-0.12,-3.42,-2.01,370,282,205,442,362,29
180,0.56,0.81,0.27,1.22,-2.2,-4.03,369,280,207,441,361,29
181,0.56,0.8,0.26,2.14,-3.42,-1.83,370,279,207,442,357,29
182,0.55,0.8,0.25,-0.43,-3.23,-2.99,369,279,203,435,359,29
183,0.56,0.78,0.26,-2.69,-3.66,-2.69,370,279,207,441,361,29
184,0.55,0.79,0.26,0.61,-2.01,-1.77,371,275,203,444,360,29
185,0.55,0.79,0.27,-0.06,-2.87,-3.54,365,279,204,444,364,29
186,0.55,0.8,0.26,1.53,-2.87,-2.44,366,280,203,445,364,29
187,0.55,0.8,0.27,0.24,-3.48,-2.81,368,280,211,442,359,29
188,0.54,0.8,0.28,-0.18,-2.5,-1.71,368,280,207,443,362,29
189,0.54,0.79,0.28,-0.49,-2.62,-1.65,367,281,207,440,361,29
190,0.54,0.79,0.28,-2.26,-2.69,-1.83,371,279,202,444,362,29
191,0.55,0.78,0.28,-0.73,-2.38,-2.08,368,280,206,442,361,29
192,0.55,0.79,0.29,-0.79,-2.44,-3.3,365,282,206,442,362,29
193,0.55,0.78,0.28,-0.37,-3.11,-2.93,369,280,207,442,363,29
194,0.54,0.79,0.28,1.4,-3.17,-2.2,374,281,205,438,361,29
195,0.54,0.79,0.29,-0.37,-1.65,-2.93,371,282,207,436,357,29
196,0.55,0.79,0.28,1.16,-2.14,-2.75,369,280,207,440,363,29
197,0.55,0.8,0.28,1.4,-3.48,-2.99,371,279,208,445,360,29
198,0.54,0.79,0.28,-0.12,-2.93,-2.56,367,279,205,444,360,29
199,0.55,0.79,0.28,0.98,-4.88,-1.28,370,280,208,441,362,29
200,0.53,0.78,0.28,-0.06,-2.32,-2.62,369,282,205,440,362,29
201,0.54,0.8,0.28,-0.73,-1.34,-2.44,371,279,207,445,363,29
202,0.55,0.8,0.29,0.73,-3.11,-2.62,366,282,203,440,359,29
203,0.54,0.79,0.28,-0.49,-2.01,-3.6,367,280,206,441,360,29
204,0.54,0.8,0.28,-1.16,-2.44,-2.93,369,281,207,442,361,29
205,0.54,0.8,0.29,0.67,-1.83,-1.53,369,280,205,446,362,29
206,0.56,0.8,0.29,-0.92,-3.23,-1.65,365,278,203,440,362,29
207,0.55,0.79,0.28,-0.24,-2.14,-2.93,371,279,205,443,361,29
208,0.54,0.78,0.3,1.34,-3.48,-2.32,382,282,204,443,361,29
209,0.55,0.79,0.29,1.22,-2.69,-2.62,366,285,206,442,361,29
210,0.55,0.79,0.29,-0.24,-3.11,-2.2,368,281,204,442,363,29
211,0.57,0.79,0.3,1.34,-1.83,-1.95,368,284,204,445,362,29
212,0.56,0.79,0.3,0.37,-3.42,-2.93,372,279,206,438,363,29
213,0.54,0.77,0.3,-2.32,-4.15,-2.99,373,280,206,440,362,29
214,0.55,0.79,0.31,-0.24,-1.89,-1.53,369,283,203,440,361,29
215,0.55,0.77,0.31,-0.67,-2.5,-0.73,370,283,208,442,361,29
216,0.57,0.78,0.3,0.18,-2.93,-2.2,367,282,205,440,362,29
217,0.55,0.77,0.32,-0.79,-3.11,-2.08,367,279,203,438,361,29
218,0.58,0.79,0.3,0.73,-2.2,-3.23,366,281,205,441,361,29
219,0.56,0.78,0.3,-3.36,-3.78,-3.72,370,281,208,441,360,29
220,0.53,0.75,0.34,1.4,2.26,-12.88,369,282,205,441,362,29
221,0.49,0.82,0.37,0.37,0.85,-6.1,371,286,207,444,364,29
222,0.37,0.77,0.45,5.74,-3.42,4.09,369,279,206,445,359,29
223,0.41,0.88,0.38,-0.85,0.06,-11.9,369,280,203,442,362,29
224,0.41,0.8,0.38,-4.64,-2.81,-6.16,369,282,208,441,362,29
225,0.42,0.79,0.41,1.28,-1.04,-2.08,370,281,206,443,365,29
226,0.4,0.85,0.44,-0.43,-0.06,0.0,369,280,205,445,364,29
227,0.36,0.78,0.43,-1.77,0.98,-3.11,372,280,209,445,363,29
228,0.39,0.84,0.48,-1.89,-1.1,-11.41,368,280,208,436,363,29
229,0.39,0.79,0.43,0.06,-4.76,-11.6,368,279,210,443,363,29
230,0.38,0.82,0.47,0.49,-1.59,-3.05,366,279,208,437,363,29
231,0.36,0.82,0.44,0.92,-4.15,-1.46,368,282,205,439,361,29
232,0.4,0.8,0.41,0.98,-6.53,-2.5,375,292,207,440,361,29
233,0.38,0.82,0.41,3.78,-1.83,-1.34,367,279,201,443,362,29
234,0.41,0.81,0.41,3.54,-2.62,-2.5,368,281,202,442,363,29
235,0.4,0.81,0.4,0.67,-3.05,-0.85,366,280,204,444,363,29
236,0.37,0.82,0.4,4.58,-1.22,1.22,372,283,203,444,361,29
237,0.41,0.84,0.39,0.31,-0.37,-0.98,367,283,204,444,364,29
238,0.42,0.8,0.38,-0.06,-4.7,-2.01,369,282,206,441,363,29
239,0.42,0.83,0.37,-2.32,-3.48,-2.01,367,281,202,442,362,29
240,0.42,0.89,0.37,-5.25,0.49,0.85,369,282,206,438,360,29
241,0.44,0.87,0.37,-1.28,-1.16,0.06,364,281,205,442,362,29
242,0.44,0.84,0.39,-0.12,-2.32,-5.37,396,281,202,436,366,29
243,0.42,0.83,0.38,-1.04,-2.14,0.92,369,282,204,444,375,29
244,0.44,0.79,0.38,-0.61,-2.56,-2.01,366,294,207,441,365,29
245,0.45,0.81,0.38,0.37,-3.97,-2.38,371,283,205,445,361,29
246,0.45,0.81,0.39,-0.24,-1.59,-2.5,371,283,206,441,363,29
247,0.44,0.8,0.38,-2.26,-3.6,-2.08,368,282,204,442,364,29
248,0.45,0.81,0.38,-0.24,-2.99,-1.71,370,282,204,442,361,29
249,0.45,0.81,0.37,-0.49,-3.11,-1.34,367,281,204,445,360,29
250,0.43,0.81,0.39,-1.1,-3.78,-0.73,371,278,205,441,362,29
251,0.48,0.8,0.39,-15.44,-4.15,-5.74,365,280,205,441,364,29
252,0.44,0.82,0.39,1.83,-1.46,-1.53,369,282,203,441,360,29
253,0.45,0.82,0.39,-3.11,-2.69,-3.91,369,282,203,437,366,29
254,0.46,0.81,0.38,-1.89,-3.54,-1.1,368,282,205,440,360,29
255,0.47,0.8,0.38,-0.31,-3.97,-2.56,366,280,205,440,363,29
256,0.47,0.8,0.4,3.36,-1.28,-2.56,366,284,203,442,360,29
257,0.47,0.82,0.4,3.36,-3.36,-2.87,367,281,205,445,364,29
258,0.45,0.82,0.38,0.12,-4.58,-1.65,365,283,204,445,366,29
259,0.47,0.82,0.36,0.73,-4.76,-5.62,369,281,205,435,364,29
260,0.44,0.8,0.37,2.5,-0.31,-4.09,365,284,204,442,366,29
261,0.46,0.83,0.39,-0.12,-4.64,-5.92,365,283,205,440,366,29
262,0.47,0.81,0.33,-1.46,-2.38,-2.44,366,282,205,441,364,29
263,0.45,0.78,0.35,-3.17,-5.13,-0.92,367,282,208,444,359,29
264,0.46,0.82,0.36,0.49,-3.42,0.85,368,281,205,436,364,29
265,0.44,0.77,0.38,-2.2,-0.49,-4.94,365,281,207,440,362,29
266,0.46,0.82,0.39,2.87,2.14,-3.23,367,281,207,444,366,29
267,0.45,0.8,0.4,-2.08,-2.44,-0.67,363,283,207,443,366,29
268,0.47,0.81,0.4,-0.92,-4.33,0.67,363,287,207,448,364,29
269,0.47,0.81,0.38,0.92,-1.89,0.12,365,283,206,446,366,29
270,0.49,0.8,0.34,7.32,-3.42,-1.34,364,281,205,442,367,29
271,0.46,0.8,0.37,-1.46,-4.46,-1.83,366,277,204,437,362,29
272,0.47,0.82,0.39,-0.98,-1.34,-3.36,364,284,202,441,357,29
273,0.45,0.83,0.39,-1.4,-2.5,-1.71,363,280,208,443,361,29
274,0.46,0.82,0.38,-0.18,-3.97,-2.56,362,281,208,438,364,29
275,0.47,0.8,0.37,-1.53,-3.6,-2.81,361,281,204,441,360,29
276,0.49,0.79,0.36,0.12,-3.23,-2.69,362,284,211,441,364,29
277,0.45,0.81,0.4,-3.36,-0.43,-4.46,361,281,205,445,366,29
278,0.47,0.79,0.37,0.43,-4.64,-2.32,360,285,207,440,365,29
279,0.47,0.81,0.37,2.44,-3.17,-1.65,362,281,208,436,360,29
280,0.45,0.79,0.37,-2.08,-5.49,-0.79,360,282,207,444,360,29
281,0.47,0.82,0.38,-1.34,-4.15,-5.49,360,284,204,445,370,29
282,0.45,0.8,0.39,-0.49,-4.33,-1.83,361,284,206,440,360,29
283,0.45,0.83,0.37,-0.49,-3.3,-4.21,365,283,206,443,367,29
284,0.5,0.87,0.39,13.18,-9.52,9.83,356,281,206,440,364,29
285,0.45,0.86,0.39,29.6,-1.83,-23.19,362,281,207,442,359,29
286,0.42,0.82,0.33,7.45,-5.43,-0.98,359,283,208,437,362,29
287,0.41,0.8,0.28,3.23,-1.1,-0.79,362,282,206,443,365,29
288,0.48,0.87,0.24,8.42,-9.77,-0.37,363,283,203,446,363,29
289,0.5,0.88,0.22,1.16,-1.59,1.16,363,281,208,438,363,29
290,0.48,0.81,0.25,-2.44,-5.8,-3.05,364,279,207,443,365,29
291,0.51,0.88,0.21,3.42,-1.04,0.49,362,281,205,432,366,29
292,0.49,0.81,0.2,-3.85,-4.94,1.1,364,279,207,442,364,29
293,0.57,0.81,0.24,5.43,1.46,3.78,363,278,205,445,363,29
294,0.53,0.78,0.26,-0.49,0.98,-4.21,363,281,204,436,364,29
295,0.53,0.78,0.25,7.75,4.03,2.93,357,277,205,440,365,29
296,0.58,0.78,0.23,1.77,-3.11,2.01,361,280,205,445,364,29
297,0.58,0.79,0.21,3.11,-1.83,-5.0,362,280,206,444,366,29
298,0.55,0.79,0.22,0.18,-5.31,-6.35,363,279,201,444,362,29
299,0.55,0.8,0.22,0.31,-2.32,-3.97,361,281,206,441,364,29
300,0.53,0.8,0.23,-1.89,-2.69,-4.03,361,280,205,443,366,29
301,0.53,0.81,0.25,-2.08,-2.44,-1.28,358,278,205,441,364,29
302,0.54,0.79,0.24,0.92,-4.15,-0.55,363,284,208,440,371,29
303,0.55,0.79,0.25,-0.61,-2.62,-1.34,361,283,205,443,364,29
304,0.58,0.75,0.24,-11.6,-4.58,1.34,362,280,208,442,361,29
305,0.56,0.8,0.28,0.37,-3.05,-4.52,360,286,209,445,363,29
306,0.57,0.79,0.25,1.34,-3.23,-3.85,361,284,207,441,363,29
307,0.58,0.8,0.26,2.75,-2.44,-1.83,366,283,220,444,365,29
308,0.57,0.8,0.25,1.22,-2.14,-3.17,360,282,210,442,364,29
309,0.54,0.79,0.27,0.92,-2.2,-3.66,360,284,204,442,367,29
310,0.55,0.8,0.26,0.43,-2.99,-2.38,361,283,207,442,362,29
311,0.55,0.79,0.25,0.12,-4.64,-1.83,359,296,206,445,363,29
312,0.56,0.79,0.24,0.79,-3.17,-3.54,361,284,201,443,363,29
313,0.55,0.8,0.25,-0.12,-2.69,-2.5,360,282,209,441,364,29
314,0.57,0.8,0.25,2.01,-3.66,-2.56,362,282,209,442,364,29
315,0.55,0.79,0.25,0.18,-2.2,-1.65,362,281,207,445,364,29
316,0.57,0.8,0.25,-0.98,-2.26,-2.75,359,284,206,442,365,29
317,0.56,0.79,0.26,-0.98,-1.22,-2.75,356,283,206,440,365,29
318,0.57,0.79,0.26,2.93,-3.36,-2.62,359,281,204,443,364,29
319,0.56,0.78,0.25,1.46,-2.93,-1.95,359,282,206,441,367,29
320,0.56,0.78,0.25,-0.67,-2.38,-2.93,359,280,206,440,365,29
321,0.57,0.78,0.25,0.18,-1.77,-1.83,360,283,208,441,366,29
322,0.57,0.78,0.25,0.37,-2.26,-3.23,362,279,209,442,364,29
323,0.57,0.79,0.25,0.12,-2.44,-2.56,358,282,207,444,365,29
324,0.56,0.79,0.25,-0.12,-2.5,-2.14,361,283,210,447,365,29
325,0.56,0.78,0.26,-0.79,-2.75,-2.38,361,281,208,441,366,29
326,0.58,0.77,0.25,-0.43,-1.89,-1.95,360,281,203,442,368,29
327,0.59,0.78,0.27,-2.62,-3.78,-2.32,360,281,214,441,361,29
328,0.58,0.77,0.28,-2.93,-1.77,-3.17,360,284,202,443,362,29
329,0.56,0.75,0.29,-0.92,-5.25,-4.88,360,285,206,441,362,29
330,0.58,0.75,0.29,-1.71,-4.33,-2.01,359,282,206,444,362,29
331,0.56,0.76,0.3,0.0,-3.66,-2.01,381,283,207,442,363,29
332,0.58,0.74,0.29,-0.31,-3.91,-2.32,364,281,207,443,363,29
333,0.57,0.76,0.3,-1.46,-2.2,-3.3,359,298,209,441,363,29
334,0.59,0.76,0.29,2.32,-5.07,-5.92,360,281,206,442,365,29
335,0.56,0.78,0.28,7.02,1.59,-8.18,361,282,208,440,359,29
336,0.54,0.82,0.28,-5.98,2.93,-12.39,358,281,204,444,360,29
337,0.54,0.83,0.29,2.87,-8.12,-6.96,361,281,219,441,362,29
338,0.46,0.85,0.27,3.36,1.89,-9.89,359,282,212,434,363,29
339,0.49,0.85,0.26,1.77,-2.38,-0.06,357,281,206,438,363,29
340,0.49,0.85,0.26,-1.04,-1.89,-3.66,359,284,206,444,364,29
341,0.46,0.85,0.26,-0.24,-2.99,-3.6,359,281,205,442,366,29
342,0.46,0.86,0.27,0.61,-2.93,-0.55,361,280,203,443,360,29
343,0.46,0.84,0.26,1.83,-3.11,-0.24,359,284,206,439,366,29
344,0.46,0.84,0.26,0.31,-2.5,-2.87,358,284,209,438,364,29
